Location Name,Coordinates,Location Category,Region,Check
Gjukar's Monument,[D5],Landmark,Whiterun Hold,
Glenmoril Coven,[D6],Cave,Falkreath Hold,
Gloombound Mine,[K5],Mine,Eastmarch,
Gloomreach,[C5],Cave,The Reach,
Goldenglow Estate,[K8],Settlement,The Rift,
Graywinter Watch,[H5],Cave,Whiterun Hold,
Great Lift at Alftand,,Dwarven Ruin,Winterhold,
Great Lift at Mzinchaleft,,Dwarven Ruin,Hjaalmarch,
Great Lift at Raldbthar,,Dwarven Ruin,The Pale,
Greenspring Hollow,,Grove,Whiterun Hold,
Greywater Grotto,[G7],Cave,Falkreath Hold,
Guldun Rock,[H5],Giant Camp,Whiterun Hold,
Haafingar Stormcloak Camp,[C2],Stormcloak Camp,Haafingar,
Haemar's Shame,[H7],Cave,Falkreath Hold,
Hag Rock Redoubt,[A5],Nordic Ruin,The Reach,
Hag's End,[B2],Nordic Ruin,The Reach,
Half-Moon Mill,[E6],Wood Mill,Falkreath Hold,
Hall of the Vigilant,[G3],Shack,The Pale,
Halldir's Cairn,[E8],Cave,Falkreath Hold,
Halted Stream Camp,[G4],Camp/Mine,Whiterun Hold,
Hamvir's Rest,[F4],Ruins,Whiterun Hold,
Harmugstahl,[B3],Military Fort,The Reach,
Heartwood Mill,[J7],Wood Mill,The Rift,
Hela's Folly,[H1],Shipwreck,Winterhold,
Helgen,[G7],Town,Falkreath Hold,
High Gate Ruins,[F2],Nordic Ruin,The Pale,
High Hrothgar,[H5],Military Fortt,Whiterun Hold,
Hillgrund's Tomb,[H5],Nordic Ruin,The Pale,
Hjaalmarch Imperial Camp,,Imperial Camp,Hjaalmarch,
Hjaalmarch Stormcloak Camp,[F2],Stormcloak Camp,Hjaalmarch,
Hlaalu Farm,[J4],Farm,Eastmarch,
Hob's Fall Cave,[H2],Cave,Winterhold,
Hollyfrost Farm,[K4],Farm,Eastmarch,
Honeystrand Cave,[I7],Cave,The Rift,
Honningbrew Meadery,[G5],Settlement,Whiterun Hold,
Hunter's Rest,[E6],Shack,Falkreath Hold,
Ilinalta's Deep,[E6],Military Fort,Falkreath Hold,
Irkngthand,[I4],Dwarven Ruin,The Pale,
Ironback Hideout,[D1],Shack,Haafingar,
Ironbind Barrow,[H3],Nordic Ruin,Winterhold,
Ivarstead,[H7],Town,The Rift,
Japhet's Folly,[K1],Settlement,Winterhold,
Journeyman's Nook,[J2],Ruins,Winterhold,
Kagrenzel,[L6],Dwarven Ruin,Eastmarch,
Karthspire,[B5],Camp,The Reach,
Karthspire Camp,[B5],Camp,The Reach,
Karthwasten,[B4],Town,The Reach,
Katla's Farm,[D2],Farm,Haafingar,
Kjenstag Ruins,[F3],Ruins,Hjaalmarch,
Knifepoint Ridge,[D7],Camp,Falkreath Hold,
Kolskeggr Mine,[B4],Mine,The Reach,
Korvanjund,[H4],Nordic Ruin,The Pale,
Kynesgrove,[J5],Settlement,Eastmarch,
Labyrinthian,[F4],Nordic Ruin,Hjaalmarch,
Largashbur,[J8],Orc Stronghold,The Rift,
Left Hand Mine,[A5],Mine,The Reach,
Liar's Retreat,[C3],Cave,The Reach,
Loreius Farm,[G4],Wheat Mill,The Pale,
Lost Echo Cave,[B2],Cave,Falkreath Hold,
Lost Knife Hideout,[I6],Cave,Eastmarch,
Lost Prospect Mine,[L7],Mine,The Rift,
Lost Tongue Overlook,[K8],Dragon Lair,The Rift,
Lost Valkygg,"[F4]",Ruins,Hjaalmarch,
Lost Valley Redoubt,[D5],Nordic Ruin,The Reach,
Lund's Hut,[D4],Shack,Whiterun Hold,
Mara's Eye Den,[I5],Cave,Eastmarch,
Mara's Eye Pond,[I5],Clearing,Eastmarch,
Markarth,[A4],City,The Reach,
Markarth Stables,[A4],Stable,The Reach,
Meeko's Shack,[D3],Shack,Hjaalmarch,
Merryfair Farm,[K7],Farm,The Rift,
Mistveil Keep,[K8],Castle,The Rift,
Mistwatch,[J6],Military Fort,Eastmarch,
Mixwater Mill,[I5],Wood Mill,Eastmarch,
Mor Khazgur,[B2],Orc Stronghold,The Reach,
Morthal,[E3],City,Hjaalmarch,
Morvunskar,[I4],Military Fort,Eastmarch,
Moss Mother Cavern,[E6],Cave,Falkreath Hold,
Mount Anthor,[I3],Dragon Lair,Winterhold,
Movarth's Lair,[E3],Cave,Hjaalmarch,
Mzinchaleft,[F2],Dwarven Ruin,Hjaalmarch,
Mzulft,[K5],Dwarven Ruin,Eastmarch,
Narzulbur,[K4],Orc Stronghold,Eastmarch,
Nchuand-Zel,,Dwarven Ruin,The Reach,
Nightcaller Temple,[G2],Military Fort,The Pale,
Nightgate Inn,[H3],Inn,The Pale,
Nightingale Hall,[K8],Cave,The Rift,
Nilheim,[I7],Nordic Tower,The Rift,
North Brittleshin Pass,[E6],Cave,Falkreath Hold,
North Skybound Watch,[G6],Ruins,Whiterun Hold,
Northwatch Keep,[B1],Military Fort,Haafingar,
Northwind Mine,[K6],Mine,The Rift,
Northwind Summit,[K6],Dragon Lair,The Rift,
Old Hroldan Inn,[C5],Inn,The Reach,
Orotheim,[D4],Cave,Hjaalmarch,
Orphan Rock,[G7],Landmark,Falkreath Hold,
Orphan's Tear,[C1],Shipwreck,Haafingar,
Palace of the Kings,[J3],Castle,Eastmarch,
Pale Imperial Camp,[F2],Imperial Camp,The Pale,
Pale Stormcloak Camp,,Stormcloak Camp,The Pale,
Peak's Shade Tower,[F7],Nordic Tower,Falkreath Hold,
Pelagia Farm,[G5],Wheat Mill,Whiterun Hold,
Pilgrim's Trench,[I2],Shipwreck,Winterhold,
Pinefrost Tower,[B2],Imperial Tower,Haafingar,
Pinemoon Cave,[C2],Cave,Haafingar,
Pinepeak Cavern,[I6],Cave,The Rift,
Pinewatch,[F7],Shack,Falkreath Hold,
Purewater Run,[A5],Cave,The Reach,
Ragnvald,[A4],Nordic Ruin,The Reach,
Raldbthar,[I4],Dwarven Ruin,The Pale,
Rannveig's Fast,[E4],Nordic Ruin,Whiterun Hold,
Ravenscar Hollow,[C1],Cave,Haafingar,
Reach Imperial Camp,,Imperial Camp,The Reach,
Reach Stormcloak Camp,[C3],Stormcloak Camp,The Reach,
Reachcliff Cave,[B5],Cave,The Reach,
Reachwater Rock,[B5],Cave,The Reach,
Reachwind Eyrie,[B5],Landmark/Dwarven Ruin,The Reach,
Rebel's Cairn,[C4],Cave,The Reach,
Red Eagle Redoubt,[B4],Cave,The Reach,
Red Road Pass,[G2],Giant Camp,The Pale,
Redoran's Retreat,[F4],Cave,Whiterun Hold,
Refugees' Rest,[K3],Imperial Tower,Eastmarch,
Rift Imperial Camp,[H7],Imperial Camp,The Rift,
Rift Stormcloak Camp,,Stormcloak Camp,The Rift,
Rift Watchtower,[J7],Imperial Tower,The Rift,
Riften,[K7],City,The Rift,
Riften Stables,[K7],Stable,The Rift,
Rimerock Burrow,[B2],Cave,Haafingar,
Riverside Shack,[J5],Shack,Eastmarch,
Riverwood,[G6],Town,Whiterun Hold,
Roadside Ruins,[E7],Ruins,Falkreath Hold,
Robber's Gorge,[D3],Camp,Hjaalmarch,
Rorikstead,[D5],Town,Whiterun Hold,
Ruins of Bthalft,[I7],Landmark/Dwarven Ruin,The Rift,
Ruins of Rkund,[K8],Dwarven Ruin,The Rift,
Saarthal,[I2],Nordic Ruin,Winterhold,
Sacellum of Boethiah,[K4],Daderic Shrine,Eastmarch,
Salvius Farm,[A5],Wheat Mill,The Reach,
Sarethi Farm,[J7],Wheat Mill,The Rift,
Secunda's Kiss,[F6],Camp,Falkreath Hold,
Septimus Signus's Outpost,[J1],Cave,Winterhold,
Serpent's Bluff Redoubt,[C5],Camp,Whiterun Hold,
Shadowgreen Cavern,[D1],Cave,Haafingar,
Shearpoint,[H4],Dragon Lair,The Pale,
Shimmermist Cave,[H4],Cave,Whiterun Hold,
Shor's Stone,[K6],Town,The Rift,
Shor's Watchtower,[K6],Imperial Tower,The Rift,
Shriekwind Bastion,[F7],Nordic Ruin,Falkreath Hold,
Shrine of Azura,[J2],Daderic Shrine,Winterhold,
Shrine of Mehrunes Dagon,[F3],Daderic Shrine,The Pale,
Shrine to Peryite,[B4],Daderic Shrine,The Reach,
Shroud Hearth Barrow,[I6],Nordic Ruin,The Rift,
Shrouded Grove,[H3],Grove,The Pale,
Sightless Pit,[I2],Cave/Dwarven Ruin,Winterhold,
Silent Moons Camp,[F4],Nordic Ruin,Whiterun Hold,
Silverdrift Lair,[H3],Nordic Ruin,The Pale,
Sky Haven Temple,[B4],Guild Hall,The Reach,
Skyborn Altar,[F3],Dragon Lair,Hjaalmarch,
Skytemple Ruins,[J1],Ruins,Winterhold,
Sleeping Tree Camp,[E5],Giant Camp,Whiterun Hold,
Snapleg Cave,[J6],Cave,Eastmarch,
Snow Veil Sanctum,[K3],Nordic Ruin,Winterhold,
Snow-Shod Farm,[K8],Wheat Mill,The Rift,
Snowpoint Beacon,[H2],Imperial Tower,Winterhold,
Solitude,[D2],City,Haafingar,
Solitude Lighthouse,[E1],Lighthouse,Haafingar,
Solitude Military Camp,,Stormcloak Camp,Haafingar,
Solitude Sawmill,[D2],Wood Mill,Haafingar,
Soljund's Sinkhole,[C5],Cave/Mine,The Reach,
South Skybound Watch,[G6],Ruins,Falkreath Hold,
Southfringe Sanctum,[G8],Cave,The Reach,
Statue to Meridia,[D2],Daderic Shrine,Haafingar,
Steamcrag Camp,[K5],Giant Camp,Eastmarch,
Steepfall Burrow,[B1],Cave,Haafingar,
Stendarr's Beacon,[L8],Imperial Tower,The Rift,
Stillborn Cave,[J3],Cave,Winterhold,
Stonehill Bluff,[G3],Giant Camp,The Pale,
Stonehills,[F3],Settlement/Mine,Hjaalmarch,
Stony Creek Cave,[K6],Cave,Eastmarch,
Sundered Towers,[C4],Nordic Tower,The Reach,
Sunderstone Gorge,[E6],Cave,Falkreath Hold,
Swindler's Den,[E5],Cave,Whiterun Hold,
Talking Stone Camp,[D4],Giant Camp,Hjaalmarch,
Thalmor Embassy,[D1],Settlement,Haafingar,
The Apprentice Stone,[E3],Standing Stone,Hjaalmarch,
The Atronach Stone,[J6],Standing Stone,Eastmarch,
The Guardian Stones,[F7],Standing Stone,Falkreath Hold,
The Katariah,,Shipwreck,Haafingar,
The Lady Stone,[E6],Standing Stone,Falkreath Hold,
The Lord Stone,[G3],Standing Stone,Hjaalmarch,
The Lover Stone,[B4],Standing Stone,The Reach,
The Ritual Stone,[H5],Standing Stone,Whiterun Hold,
The Serpent Stone,[K1],Standing Stone,Winterhold,
The Shadow Stone,[K8],Standing Stone,The Rift,
The Steed Stone,[D1],Standing Stone,Haafingar,
The Tower Stone,[H2],Standing Stone,Winterhold,
Thieves Guild,,Guild Hall,The Rift,
Throat of the World,[H6],Landmark,Whiterun Hold,
Tolvald's Cave,[K6],Cave/Dwarven Ruin,The Rift,
Tower of Mzark,,Dwarven Ruin,The Pale,
Traitor's Post,[K4],Shack,Eastmarch,
Treva's Watch,[J7],Military Fort,The Rift,
Tumble Arch Pass,[H4],Giant Camp,The Pale,
Twilight Sepulcher,[D7],Nordic Ruin,Falkreath Hold,
Understone Keep,[A4],Castle,The Reach,
Ustengrav,[F2],Nordic Ruin,Hjaalmarch,
Uttering Hills Cave,[I4],Cave,Eastmarch,
Valtheim Towers,[I5],Nordic Tower,Whiterun Hold,
Valthume,[C5],Nordic Ruin,The Reach,
Volskygge,[B2],Nordic Ruin,Haafingar,
Volunruud,[G4],Nordic Ruin,The Pale,
Wayward Pass,[H3],Pass,Winterhold,
Western Watchtower,[F5],Military Fort,Whiterun Hold,
Weynon Stones,[G3],Landmark,The Pale,
Whistling Mine,[J2],Mine,Winterhold,
White River Watch,[H5],Cave,Whiterun Hold,
Whiterun,[G5],City,Whiterun Hold,
Whiterun Imperial Camp,,Imperial Camp,Whiterun Hold,
Whiterun Military Camp,,Stormcloak Camp,Whiterun Hold,
Whiterun Stables,[G5],Stable,Whiterun Hold,
Whiterun Stormcloak Camp,[H5],Stormcloak Camp,Whiterun Hold,
Whitewatch Tower,[G4],Imperial Tower,Whiterun Hold,
Widow's Watch Ruins,[C1],Imperial Tower,Haafingar,
Windhelm,[J4],City,Eastmarch,
Windhelm Military Camp,,Imperial Camp,Eastmarch,
Windhelm Stables,[J4],Stable,Eastmarch,
Windward Ruins,[G2],Ruins,The Pale,
Winterhold,[I2],City,Winterhold,
Winterhold Imperial Camp,[H2],Imperial Camp,Winterhold,
Winterhold Stormcloak Camp,,Stormcloak Camp,Winterhold,
Witchmist Grove,[J5],Grove,Eastmarch,
Wolfskull Cave,[C1],Cave,Haafingar,
Wreck Of The Brinehammer,[F1],Shipwreck,The Pale,
Wreck of the Icerunner,[E2],Shipwreck,Hjaalmarch,
Wreck of The Pride of Tel Vos,[J2],Shipwreck,Winterhold,
Wreck of the Winter War,[K3],Shipwreck,Winterhold,
Yngol Barrow,[K3],Nordic Ruin,Winterhold,
Yngvild,[H1],Cave,Winterhold,
Yorgrim Overlook,[I3],Ruins,The Pale,
Ysgramor's Tomb,[I1],Nordic Ruin,Winterhold,
