Lun,Leech,Dark Brotherhood Sanctuary (quest locked),Marked for Death,Vanilla,
Aus,Suffer,Forsaken Cave,Marked for Death,Vanilla,
Tiid,Time,Hag's End,Slow Time,Vanilla,
Klo,Sand,Korvanjund (quest locked),Slow Time,Vanilla,
Ul,Eternity,Labyrinthian (quest locked),Slow Time,Vanilla,
Strun,Storm,Forelhost,Storm Call,Vanilla,
Bah,Wrath,High Gate Ruins,Storm Call,Vanilla,
Qo,Lightning,Skuldafn Temple (quest locked),Storm Call,Vanilla,
Zul,Voice,Shearpoint,Throw Voice,Vanilla,
Mey,Fool,Shearpoint,Throw Voice,Vanilla,
Gut,Far,Shearpoint,Throw Voice,Vanilla,
Fus,Force,Bleak Falls Barrow,Unrelenting Force,Vanilla,
Ro,Balance,High Hrothgar - During The Way of the Voice,Unrelenting Force,Vanilla,
Dah,Push,High Hrothgar - During The Horn of Jurgen Windcaller,Unrelenting Force,Vanilla,
Wuld,Whirlwind,Dead Men's Respite,Whirlwind Sprint,Vanilla,
Nah,Fury,High Hrothgar - During The Way of the Voice,Whirlwind Sprint,Vanilla,
Kest,Tempest,Volskygge,Whirlwind Sprint,Vanilla,
Gaan,Stamina,Dimhollow Crypt,Drain Vitality,Dawnguard,
Lah,Magicka,Forgotten Vale,Drain Vitality,Dawnguard,
Haas,Health,Arcwind Point,Drain Vitality,Dawnguard,
Rii,Essence,Durnehviir teaches you a word each time you summon him from the Soul Cairn.,Soul Tear,Dawnguard,
Vaaz,Tear,Durnehviir teaches you a word each time you summon him from the Soul Cairn.,Soul Tear,Dawnguard,
Zol,Zombie,Durnehviir teaches you a word each time you summon him from the Soul Cairn.,Soul Tear,Dawnguard,
Dur,Curse,Soul Cairn - During Beyond Death,Summon Durnehviir,Dawnguard,
Neh,Never,Soul Cairn - During Beyond Death,Summon Durnehviir,Dawnguard,
Viir,Dying,Soul Cairn - During Beyond Death,Summon Durnehviir,Dawnguard,
Mid,Loyal,Vahlok's Tomb,Battle Fury,Dragonborn,
Vur,Valor,Vahlok's Tomb,Battle Fury,Dragonborn,
Shaan,Inspire,Vahlok's Tomb,Battle Fury,Dragonborn,
Gol,Earth,Saering's Watch,Bend Will,Dragonborn,
Hah,Mind,Taught to you by Hermaeus Mora,Bend Will,Dragonborn,
Dov,Dragon,Taught to you by Hermaeus Mora,Bend Will,Dragonborn,
Ven,Wind,White Ridge Sanctum,Cyclone,Dragonborn,
Gaar,Unleash,Benkongerike,Cyclone,Dragonborn,
Nos,Strike,Kolbjorn Barrow,Cyclone,Dragonborn,
Mul,Strength,Raven Rock Mine,Dragon Aspect,Dragonborn,
Qah,Armor,Temple of Miraak,Dragon Aspect,Dragonborn,
Diiv,Wyrm,Apocrypha - During Waking Dreams,Dragon Aspect,Dragonborn,
